index	initial_lddt	final_lddt	ideal_lddt
800	tensor(0.4633)	tensor(0.4633)	tensor(0.5646)
840	tensor(0.3847)	tensor(0.5418)	tensor(0.5080)
880	tensor(0.4272)	tensor(0.4272)	tensor(0.5518)
920	tensor(0.4590)	tensor(0.4590)	tensor(0.5809)
960	tensor(0.4999)	tensor(0.4999)	tensor(0.5840)
1000	tensor(0.2631)	tensor(0.2631)	tensor(0.3698)
1040	tensor(0.4063)	tensor(0.4063)	tensor(0.5472)
1080	tensor(0.4560)	tensor(0.6017)	tensor(0.5709)
1120	tensor(0.3715)	tensor(0.3715)	tensor(0.4808)
1160	tensor(0.4176)	tensor(0.4176)	tensor(0.5573)
1200	tensor(0.4583)	tensor(0.4583)	tensor(0.5536)
1240	tensor(0.4650)	tensor(0.4650)	tensor(0.5767)
1280	tensor(0.4527)	tensor(0.5746)	tensor(0.5305)
1320	tensor(0.4766)	tensor(0.4766)	tensor(0.5900)
1360	tensor(0.4324)	tensor(0.4324)	tensor(0.5476)
1400	tensor(0.4738)	tensor(0.5893)	tensor(0.5627)
1440	tensor(0.2057)	tensor(0.2057)	tensor(0.3935)
1480	tensor(0.3961)	tensor(0.3961)	tensor(0.4809)
1520	tensor(0.3636)	tensor(0.3636)	tensor(0.5172)
1560	tensor(0.4997)	tensor(0.5622)	tensor(0.5636)
1600	tensor(0.4644)	tensor(0.4644)	tensor(0.5497)
1640	tensor(0.4310)	tensor(0.4310)	tensor(0.5534)
1680	tensor(0.3977)	tensor(0.3977)	tensor(0.5021)
1720	tensor(0.4902)	tensor(0.4902)	tensor(0.5811)
1760	tensor(0.4409)	tensor(0.5615)	tensor(0.5768)
1800	tensor(0.4756)	tensor(0.7369)	tensor(0.5602)
1840	tensor(0.3295)	tensor(0.3295)	tensor(0.4413)
1880	tensor(0.4650)	tensor(0.5657)	tensor(0.5787)
1920	tensor(0.3911)	tensor(0.3911)	tensor(0.5256)
1960	tensor(0.4094)	tensor(0.4094)	tensor(0.5272)
2000	tensor(0.4151)	tensor(0.4151)	tensor(0.5290)
2040	tensor(0.2403)	tensor(0.2403)	tensor(0.3667)
2080	tensor(0.4875)	tensor(0.5823)	tensor(0.6238)
2120	tensor(0.4750)	tensor(0.5897)	tensor(0.5799)
2160	tensor(0.4486)	tensor(0.4486)	tensor(0.6004)
2200	tensor(0.3929)	tensor(0.3929)	tensor(0.5054)
2240	tensor(0.3813)	tensor(0.3813)	tensor(0.4748)
2280	tensor(0.4638)	tensor(0.4638)	tensor(0.5361)
2320	tensor(0.5145)	tensor(0.5145)	tensor(0.5906)
2360	tensor(0.4836)	tensor(0.6029)	tensor(0.5875)
2400	tensor(0.5082)	tensor(0.5721)	tensor(0.6380)
2440	tensor(0.4158)	tensor(0.4158)	tensor(0.5652)
2480	tensor(0.4774)	tensor(0.4774)	tensor(0.5560)
2520	tensor(0.5428)	tensor(0.5428)	tensor(0.6280)
2560	tensor(0.5355)	tensor(0.5993)	tensor(0.6215)
2600	tensor(0.5722)	tensor(0.5722)	tensor(0.6829)
2640	tensor(0.5149)	tensor(0.5149)	tensor(0.6293)
2680	tensor(0.4905)	tensor(0.5728)	tensor(0.5737)
2720	tensor(0.2354)	tensor(0.2354)	tensor(0.3544)
2760	tensor(0.4828)	tensor(0.4828)	tensor(0.6112)
2800	tensor(0.3987)	tensor(0.3987)	tensor(0.5235)
2840	tensor(0.4947)	tensor(0.4947)	tensor(0.6294)
2880	tensor(0.3757)	tensor(0.3757)	tensor(0.4902)
2920	tensor(0.3514)	tensor(0.3514)	tensor(0.4324)
2960	tensor(0.5107)	tensor(0.5876)	tensor(0.6059)
3000	tensor(0.5328)	tensor(0.5328)	tensor(0.6156)
3040	tensor(0.5340)	tensor(0.6229)	tensor(0.6152)
3080	tensor(0.4182)	tensor(0.4182)	tensor(0.5604)
3120	tensor(0.4300)	tensor(0.4300)	tensor(0.5559)
3160	tensor(0.4352)	tensor(0.4352)	tensor(0.5571)
3200	tensor(0.4004)	tensor(0.4004)	tensor(0.5153)
3240	tensor(0.5244)	tensor(0.5244)	tensor(0.6602)
3280	tensor(0.4121)	tensor(0.4121)	tensor(0.5374)
3320	tensor(0.4802)	tensor(0.5724)	tensor(0.6156)
3360	tensor(0.4675)	tensor(0.4675)	tensor(0.5894)
3400	tensor(0.2803)	tensor(0.2803)	tensor(0.3918)
3440	tensor(0.4465)	tensor(0.4465)	tensor(0.5741)
3480	tensor(0.4587)	tensor(0.5893)	tensor(0.5600)
3520	tensor(0.4851)	tensor(0.4851)	tensor(0.5466)
3560	tensor(0.2489)	tensor(0.2489)	tensor(0.3546)
3600	tensor(0.3890)	tensor(0.3890)	tensor(0.5091)
3640	tensor(0.4778)	tensor(0.6234)	tensor(0.6380)
3680	tensor(0.4936)	tensor(0.4936)	tensor(0.6264)
3720	tensor(0.4356)	tensor(0.4356)	tensor(0.5526)
3760	tensor(0.5572)	tensor(0.5572)	tensor(0.7266)
3800	tensor(0.4395)	tensor(0.4395)	tensor(0.5156)
3840	tensor(0.3056)	tensor(0.4480)	tensor(0.3612)
3880	tensor(0.4501)	tensor(0.5848)	tensor(0.5547)
3920	tensor(0.4118)	tensor(0.4118)	tensor(0.5082)
3960	tensor(0.4460)	tensor(0.4460)	tensor(0.5735)
4000	tensor(0.5443)	tensor(0.5443)	tensor(0.6381)
4040	tensor(0.4457)	tensor(0.4457)	tensor(0.5536)
4080	tensor(0.4162)	tensor(0.4162)	tensor(0.5527)
4120	tensor(0.4436)	tensor(0.5578)	tensor(0.5432)
4160	tensor(0.3659)	tensor(0.3659)	tensor(0.4854)
4200	tensor(0.4713)	tensor(0.4713)	tensor(0.5809)
4240	tensor(0.4702)	tensor(0.4702)	tensor(0.5911)
4280	tensor(0.4823)	tensor(0.4823)	tensor(0.6356)
4320	tensor(0.2591)	tensor(0.2591)	tensor(0.3414)
