index	initial_lddt	final_lddt	ideal_lddt
8200	tensor(0.5182)	tensor(0.5182)	tensor(0.6177)
8240	tensor(0.4835)	tensor(0.4835)	tensor(0.5628)
8280	tensor(0.4637)	tensor(0.4637)	tensor(0.5806)
8320	tensor(0.4114)	tensor(0.5175)	tensor(0.5428)
8360	tensor(0.4503)	tensor(0.4503)	tensor(0.5332)
8400	tensor(0.4949)	tensor(0.5500)	tensor(0.5749)
8440	tensor(0.4404)	tensor(0.4404)	tensor(0.5858)
8480	tensor(0.4447)	tensor(0.4447)	tensor(0.6182)
8520	tensor(0.4430)	tensor(0.4430)	tensor(0.5273)
8560	tensor(0.3491)	tensor(0.3491)	tensor(0.4759)
8600	tensor(0.4295)	tensor(0.5817)	tensor(0.5786)
8640	tensor(0.5422)	tensor(0.6197)	tensor(0.6433)
8680	tensor(0.3527)	tensor(0.3527)	tensor(0.4503)
8720	tensor(0.5081)	tensor(0.5081)	tensor(0.6080)
8760	tensor(0.2952)	tensor(0.2952)	tensor(0.3852)
8800	tensor(0.4948)	tensor(0.4948)	tensor(0.6068)
8840	tensor(0.3571)	tensor(0.3571)	tensor(0.5106)
8880	tensor(0.4891)	tensor(0.4891)	tensor(0.6273)
8920	tensor(0.4076)	tensor(0.4076)	tensor(0.5277)
8960	tensor(0.4016)	tensor(0.5095)	tensor(0.5303)
9000	tensor(0.4277)	tensor(0.4277)	tensor(0.5227)
9040	tensor(0.5172)	tensor(0.5583)	tensor(0.6214)
9080	tensor(0.3242)	tensor(0.3242)	tensor(0.4507)
9120	tensor(0.4098)	tensor(0.4098)	tensor(0.5471)
9160	tensor(0.4380)	tensor(0.4380)	tensor(0.5480)
9200	tensor(0.3247)	tensor(0.3247)	tensor(0.4495)
9240	tensor(0.3042)	tensor(0.4465)	tensor(0.4130)
9280	tensor(0.4008)	tensor(0.4008)	tensor(0.5204)
9320	tensor(0.3579)	tensor(0.3579)	tensor(0.4704)
9360	tensor(0.4222)	tensor(0.4222)	tensor(0.5392)
9400	tensor(0.3876)	tensor(0.3876)	tensor(0.5308)
9440	tensor(0.4059)	tensor(0.4059)	tensor(0.5230)
9480	tensor(0.3928)	tensor(0.3928)	tensor(0.5140)
9520	tensor(0.4571)	tensor(0.4571)	tensor(0.5751)
9560	tensor(0.3811)	tensor(0.3811)	tensor(0.4959)
9600	tensor(0.5426)	tensor(0.5426)	tensor(0.6433)
9640	tensor(0.4022)	tensor(0.4022)	tensor(0.5358)
9680	tensor(0.3263)	tensor(0.3263)	tensor(0.4598)
9720	tensor(0.3993)	tensor(0.3993)	tensor(0.5143)
9760	tensor(0.5005)	tensor(0.5636)	tensor(0.6094)
9800	tensor(0.4515)	tensor(0.4515)	tensor(0.5616)
9840	tensor(0.3831)	tensor(0.3831)	tensor(0.5094)
9880	tensor(0.5006)	tensor(0.5006)	tensor(0.5972)
9920	tensor(0.3782)	tensor(0.5106)	tensor(0.4742)
9960	tensor(0.5254)	tensor(0.5254)	tensor(0.6444)
10000	tensor(0.3528)	tensor(0.3528)	tensor(0.4908)
10040	tensor(0.4374)	tensor(0.5195)	tensor(0.5560)
10080	tensor(0.4136)	tensor(0.4136)	tensor(0.5575)
10120	tensor(0.3288)	tensor(0.5224)	tensor(0.4646)
10160	tensor(0.4070)	tensor(0.4070)	tensor(0.5315)
10200	tensor(0.5082)	tensor(0.6135)	tensor(0.6155)
10240	tensor(0.3999)	tensor(0.3999)	tensor(0.5373)
10280	tensor(0.4387)	tensor(0.4387)	tensor(0.5711)
10320	tensor(0.3595)	tensor(0.3595)	tensor(0.4796)
10360	tensor(0.5059)	tensor(0.5059)	tensor(0.6047)
10400	tensor(0.5208)	tensor(0.5208)	tensor(0.6391)
10440	tensor(0.4343)	tensor(0.4343)	tensor(0.5285)
10480	tensor(0.3398)	tensor(0.3398)	tensor(0.4429)
10520	tensor(0.5336)	tensor(0.5336)	tensor(0.5969)
10560	tensor(0.2591)	tensor(0.2591)	tensor(0.3977)
10600	tensor(0.3654)	tensor(0.4753)	tensor(0.4650)
10640	tensor(0.4488)	tensor(0.4488)	tensor(0.5697)
10680	tensor(0.4354)	tensor(0.4354)	tensor(0.5560)
10720	tensor(0.4513)	tensor(0.4513)	tensor(0.5827)
10760	tensor(0.4391)	tensor(0.5066)	tensor(0.5258)
10800	tensor(0.4178)	tensor(0.4178)	tensor(0.5461)
10840	tensor(0.5344)	tensor(0.5344)	tensor(0.6509)
10880	tensor(0.3994)	tensor(0.4922)	tensor(0.5320)
10920	tensor(0.3678)	tensor(0.3678)	tensor(0.4988)
10960	tensor(0.3955)	tensor(0.3955)	tensor(0.4920)
